"funding_total_usd ";"name";"market ";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"125000";"Smart Gardener";"Curated Web ";2;2010-01-01 00:00:00;2013-01-01 00:00:00;0
"50000";"Smart GPS Backpack";"Public Relations ";1;2013-10-19 00:00:00;2013-10-18 00:00:00;0
"909145";"Smart Imaging Systems";"Security ";1;2008-01-01 00:00:00;2013-10-18 00:00:00;0
"127839";"Smart Living Studios";"Software ";1;2009-01-01 00:00:00;2012-12-21 00:00:00;1
"7039987";"Smart Lunches";"E-Commerce ";3;2011-01-01 00:00:00;2012-08-23 00:00:00;0
"18000";"Smart Mocha";"Hardware + Software ";3;2013-01-01 00:00:00;2013-03-21 00:00:00;0
"400000";"Smart Office Energy Solutions";"Clean Energy ";2;2009-12-01 00:00:00;2010-03-31 00:00:00;0
"175000";"Smart Picture Technologies";"Analytics ";1;2012-01-12 00:00:00;2013-06-05 00:00:00;0
"12000000";"Smart Pipe";"Clean Technology ";1;2000-01-01 00:00:00;2013-09-05 00:00:00;0
"392327";"Smart Planet Technologies";"Clean Technology ";4;2010-04-07 00:00:00;2009-03-31 00:00:00;0
"201956";"Smart Plate";"Hardware + Software ";1;2009-01-01 00:00:00;2012-11-16 00:00:00;0
"1014987";"Smart Reno";"Lead Generation ";2;2012-04-01 00:00:00;2012-04-01 00:00:00;0
"3959672";"Smart Skin Technologies";"Hardware + Software ";2;2009-01-01 00:00:00;2014-01-07 00:00:00;0
"476388";"Smart Surgical";"Hardware + Software ";1;2010-01-01 00:00:00;2013-01-21 00:00:00;0
"2638000";"Smart Toy";"iPod Touch ";3;2012-03-01 00:00:00;2012-05-17 00:00:00;0
"16393157";"Smart Wire Grid";"Electrical Distribution ";2;2010-01-01 00:00:00;2012-10-01 00:00:00;0
"7600000";"SmartAsset";"Sales and Marketing ";3;2012-01-01 00:00:00;2012-08-14 00:00:00;0
"1277238";"SmartBIM";"Real Estate ";1;2007-01-01 00:00:00;2011-01-11 00:00:00;0
"100000";"SmartCare system";"Electronics ";1;2012-01-01 00:00:00;2014-08-28 00:00:00;0
"3000000";"SmartCloud";"Software ";1;2009-01-01 00:00:00;2013-12-05 00:00:00;0
"128149887";"SmartDrive Systems";"Analytics ";5;2004-01-01 00:00:00;2007-01-23 00:00:00;0
"20690000";"SmartEquip";"Services ";2;2001-06-01 00:00:00;2008-08-11 00:00:00;0
"2000000";"Smarter Agent Mobile";"Mobile ";1;2013-04-01 00:00:00;2013-04-01 00:00:00;0
"17325496";"Smarter Remarketer";"Email Marketing ";3;2010-01-01 00:00:00;2012-11-13 00:00:00;0
"4600000";"Smarterer";"Human Resources ";4;2010-10-15 00:00:00;2011-06-13 00:00:00;0
"1518160";"SmartHabitat";"Hardware + Software ";2;2010-01-01 00:00:00;2011-01-13 00:00:00;0
"63099998";"Smartling";"Enterprise Software ";4;2009-01-01 00:00:00;2010-03-18 00:00:00;0
"100000";"SmartMove";"Services ";1;2008-03-07 00:00:00;2013-12-31 00:00:00;0
"370000";"SmartOn Learning";"Education ";2;2013-07-01 00:00:00;2013-08-15 00:00:00;0
"1825000";"SmartProcure";"Enterprise Software ";3;2011-10-16 00:00:00;2012-05-01 00:00:00;0
