"funding_total_usd ";"name";"market ";"status";"funding_rounds";"founded_at";"first_funding_at";"Statuts"
"2300000";"Manhattan Scientifics";"Health and Wellness ";"operating";2;1992-01-01 00:00:00;2012-02-07 00:00:00;0
"5000000";"Manicube";"Consulting ";"operating";1;2012-01-01 00:00:00;2014-04-14 00:00:00;0
"100000";"Manifest";"Social Media ";"operating";1;2012-01-15 00:00:00;2012-01-15 00:00:00;0
"15000000";"Manifest Digital";"Consulting ";"operating";2;2001-01-01 00:00:00;2009-01-26 00:00:00;0
"500000";"Manpacks";"E-Commerce ";"operating";1;2010-01-01 00:00:00;2011-08-01 00:00:00;0
"47215715";"Manta";"Curated Web ";"operating";2;2005-09-01 00:00:00;2011-01-04 00:00:00;0
"43988326";"Manta Media";"Software ";"operating";1;1996-01-01 00:00:00;2012-04-06 00:00:00;0
"58094854";"Mantara";"Software ";"operating";6;2003-07-25 00:00:00;2007-09-28 00:00:00;0
"25000";"Mantis Digital Arts";"Android ";"operating";1;2013-09-01 00:00:00;2013-10-01 00:00:00;0
"600000";"Mantrii, Inc.";"Advertising Platforms ";"operating";1;2012-07-01 00:00:00;2012-11-01 00:00:00;0
"1276115";"ManyWho";"Cloud Computing ";"operating";2;2013-05-01 00:00:00;2013-10-01 00:00:00;0
"1500000";"Manzama";"Enterprise Software ";"operating";2;2010-01-01 00:00:00;2010-10-01 00:00:00;0
"13200";"Map Decisions";"Software ";"operating";1;2012-05-15 00:00:00;2013-08-09 00:00:00;0
"50000000";"MAP Pharmaceuticals";"Medical ";"acquired";1;2003-01-01 00:00:00;2007-03-28 00:00:00;0
"100000";"map2app, Inc.";"Android ";"operating";2;2012-04-01 00:00:00;2012-12-10 00:00:00;0
"10575000";"Mapbox";"Open Source ";"operating";2;2010-01-01 00:00:00;2012-09-21 00:00:00;0
"1500000";"MapD";"Data Visualization ";"operating";1;2013-09-01 00:00:00;2014-10-14 00:00:00;0
"500000";"Maple Farm Media";"Network Security ";"operating";1;2012-04-01 00:00:00;2012-04-01 00:00:00;0
"23650000";"MapMyFitness";"Android ";"acquired";6;2007-02-08 00:00:00;2007-01-01 00:00:00;0
"250000";"MapMyID";"Shipping ";"operating";1;2012-09-01 00:00:00;2013-02-01 00:00:00;0
"173999994";"MapR Technologies";"Big Data Analytics ";"operating";5;2009-01-01 00:00:00;2009-07-22 00:00:00;0
"150000";"Maps InDeed";"Public Transportation ";"closed";1;2010-01-01 00:00:00;2010-05-04 00:00:00;1
"140000";"Maptia";"Finance ";"operating";3;2012-01-01 00:00:00;2012-02-06 00:00:00;0
"200000";"Marakana";"Education ";"acquired";1;2005-01-01 00:00:00;2007-01-01 00:00:00;0
"6500000";"Marathon Patent Group";"Education ";"operating";1;2012-11-01 00:00:00;2014-05-11 00:00:00;0
"19019986";"Marathon Technologies";"Software ";"acquired";2;1993-01-01 00:00:00;2007-03-26 00:00:00;0
"1000000";"MarcoPolo Learning";"Education ";"operating";2;2012-09-01 00:00:00;2013-05-31 00:00:00;0
"3275000";"Mardil Medical";"Hardware + Software ";"operating";2;2001-01-01 00:00:00;2010-11-23 00:00:00;0
"13300";"MarginLeft";"Curated Web ";"closed";2;2007-09-01 00:00:00;2007-01-01 00:00:00;1
"13750000";"MarginPoint";"Enterprise Software ";"operating";1;1999-01-01 00:00:00;2006-01-31 00:00:00;0
"35000";"MarijuanaStocksIndex.com";"Consulting ";"operating";1;2014-06-04 00:00:00;2014-06-12 00:00:00;0
"100268406";"Marin Software";"Technology ";"operating";9;2006-04-01 00:00:00;2006-10-05 00:00:00;0
"600000";"Marine Drive Mobile";"Software ";"operating";1;2007-01-01 00:00:00;2013-11-06 00:00:00;0
"3738941";"Marinelayer";"E-Commerce ";"operating";2;2009-03-01 00:00:00;2013-07-23 00:00:00;0
"52435690";"Marinus Pharmaceuticals";"Biotechnology ";"operating";3;2003-01-01 00:00:00;2009-05-03 00:00:00;0
"2427823";"MARIPOSA BIOTECHNOLOGY";"Biotechnology ";"closed";1;2007-01-01 00:00:00;2013-06-18 00:00:00;1
"3640000";"Maritime Broadband";"Manufacturing ";"operating";1;2008-01-01 00:00:00;2014-04-28 00:00:00;0
